"x","Method","p","trait","p_cor","g_cor","Rhat"
"Results_At_1001/Gcor_002_subset.csv","MegaLMM_1.00_",4,"AT3G06880",0.572822301395044,0.801996576493771,1.00228314730051
"Results_At_1001/Gcor_002_subset.csv","MegaLMM_2.00_",4,"AT3G06880",0.5718450422192,0.813984439807005,1.01107131804021
"Results_At_1001/Gcor_002_subset.csv","rrBLUP",4,"AT3G06880",0.299849750101188,0.335152805102726,0.998564749102014
"Results_At_1001/Gcor_002_subset.csv","MTG2",8,"AT3G06880",0.708998349737097,0.893475739560729,1.00318421108253
"Results_At_1001/Gcor_002_subset.csv","MCMCglmm",8,"AT3G06880",0.713427694988841,0.892381637315004,1.00878131033317
"Results_At_1001/Gcor_002_subset.csv","phenix",8,"AT3G06880",0.705053682265691,0.939621211177218,1.0563214091756
"Results_At_1001/Gcor_002_subset.csv","MegaLMM_0.50_",8,"AT3G06880",0.701816398090616,0.892075983021553,1.08935122638723
"Results_At_1001/Gcor_002_subset.csv","MegaLMM_1.00_",8,"AT3G06880",0.740045768637057,0.917265781440968,1.35892655242375
"Results_At_1001/Gcor_002_subset.csv","MegaLMM_2.00_",8,"AT3G06880",0.737230871465515,0.916319301039206,1.00356823173999
"Results_At_1001/Gcor_002_subset.csv","rrBLUP",8,"AT3G06880",0.299849750101188,0.335802298008649,1.01257797298094
"Results_At_1001/Gcor_002_subset.csv","MTG2",16,"AT3G06880",0.613117547836365,0.816379390862207,1.00264431923354
"Results_At_1001/Gcor_002_subset.csv","MCMCglmm",16,"AT3G06880",0.715453217309415,0.875817534240248,0.998165342710042
"Results_At_1001/Gcor_002_subset.csv","phenix",16,"AT3G06880",0.688727655805193,0.925905838633857,0.999869661646242
"Results_At_1001/Gcor_002_subset.csv","MegaLMM_0.50_",16,"AT3G06880",0.708494357155168,0.903084716042505,0.998224530237007
"Results_At_1001/Gcor_002_subset.csv","MegaLMM_1.00_",16,"AT3G06880",0.74192849978898,0.902347140212243,1.00506695490478
"Results_At_1001/Gcor_002_subset.csv","MegaLMM_2.00_",16,"AT3G06880",0.743486581315531,0.921552206563117,1.12035338184951
"Results_At_1001/Gcor_002_subset.csv","rrBLUP",16,"AT3G06880",0.299849750101188,0.361051269730321,0.998385057748526
"Results_At_1001/Gcor_002_subset.csv","MTG2",32,"AT3G06880",0.497919109140819,0.408327357231981,1.0086080617377
"Results_At_1001/Gcor_002_subset.csv","MCMCglmm",32,"AT3G06880",0.731822861897617,0.899580441831867,1.04976865400597
"Results_At_1001/Gcor_002_subset.csv","phenix",32,"AT3G06880",0.67360201541703,0.88003922052199,1.11532420225553
"Results_At_1001/Gcor_002_subset.csv","MegaLMM_0.50_",32,"AT3G06880",0.769167728003197,0.934022587757507,1.0069070421566
"Results_At_1001/Gcor_002_subset.csv","MegaLMM_1.00_",32,"AT3G06880",0.762021775149584,0.937240514650789,1.00880534469692
"Results_At_1001/Gcor_002_subset.csv","MegaLMM_2.00_",32,"AT3G06880",0.768313393538261,0.935929746102786,1.10540889993641
"Results_At_1001/Gcor_002_subset.csv","rrBLUP",32,"AT3G06880",0.299849750101188,0.354687409336603,1.00246106532592
"Results_At_1001/Gcor_002_subset.csv","MTG2",64,"AT3G06880",0.527121510578715,0.686761760943216,0.998146817280691
"Results_At_1001/Gcor_002_subset.csv","MCMCglmm",64,"AT3G06880",0.747678982802145,0.918603966351661,1.02221139443379
"Results_At_1001/Gcor_002_subset.csv","phenix",64,"AT3G06880",0.712880418768878,0.90177442615151,0.998273550747717
"Results_At_1001/Gcor_002_subset.csv","MegaLMM_0.50_",64,"AT3G06880",0.803006109901904,0.947832778536081,1.00257929358651
"Results_At_1001/Gcor_002_subset.csv","MegaLMM_1.00_",64,"AT3G06880",0.796793302787414,0.960237920444028,1.68226940142397
"Results_At_1001/Gcor_002_subset.csv","MegaLMM_2.00_",64,"AT3G06880",0.804754128433234,0.940578622178304,1.02422826458447
"Results_At_1001/Gcor_002_subset.csv","rrBLUP",64,"AT3G06880",0.299849750101188,0.330548552555422,1.00510488227491
"Results_At_1001/Gcor_002_subset.csv","phenix",128,"AT3G06880",0.736571610991778,0.926577749473734,1.01985209995369
"Results_At_1001/Gcor_002_subset.csv","MegaLMM_0.50_",128,"AT3G06880",0.753558536333928,0.908381202089381,1.04728704604732
"Results_At_1001/Gcor_002_subset.csv","MegaLMM_1.00_",128,"AT3G06880",0.782312035352753,0.934219392601647,1.0677129591662
"Results_At_1001/Gcor_002_subset.csv","MegaLMM_2.00_",128,"AT3G06880",0.781230327641699,0.911107350916115,1.01313149959198
"Results_At_1001/Gcor_002_subset.csv","rrBLUP",128,"AT3G06880",0.299849750101188,0.323980458240303,1.00053908845004
"Results_At_1001/Gcor_002_subset.csv","phenix",256,"AT3G06880",0.795871994013478,0.952763316577915,1.12581175420445
"Results_At_1001/Gcor_002_subset.csv","MegaLMM_0.50_",256,"AT3G06880",0.777011199240539,0.934628400119056,1.05216667690721
"Results_At_1001/Gcor_002_subset.csv","MegaLMM_1.00_",256,"AT3G06880",0.784730030424909,0.931693298348342,1.00920094300244
"Results_At_1001/Gcor_002_subset.csv","MegaLMM_2.00_",256,"AT3G06880",0.780937010019324,0.942442835506299,1.09602785447038
"Results_At_1001/Gcor_002_subset.csv","rrBLUP",256,"AT3G06880",0.299849750101188,0.374122685184668,1.00033722987124
"Results_At_1001/Gcor_002_subset.csv","phenix",512,"AT3G06880",0.83996059275922,0.963365457104704,1.02846219694899
"Results_At_1001/Gcor_002_subset.csv","MegaLMM_0.50_",512,"AT3G06880",0.812701476104515,0.92617496903507,1.01761993161207
"Results_At_1001/Gcor_002_subset.csv","MegaLMM_1.00_",512,"AT3G06880",0.792852535612937,0.909869016773827,1.00625883633565
"Results_At_1001/Gcor_002_subset.csv","MegaLMM_2.00_",512,"AT3G06880",0.830192339055189,0.949568786134824,1.00515092313061
