"File","X","Method","p","seed","G_RMSE_var","G_RMSE_G","G_cor_covs","R_RMSE_var","R_RMSE_G","R_cor_covs"
"Results_G_accuracy_At_1001/G_accuracy_203.csv",6,"MCMCglmm",8,203,0.164235972663892,0.0373342663596213,0.854178797381555,0.0952060763570695,0.0325132129713998,0.897054870367567
"Results_G_accuracy_At_1001/G_accuracy_203.csv",7,"phenix",8,203,0.0986640305227156,0.0587208314632375,0.803185990572752,0.0932062114177038,0.0363873661394108,0.902301193320344
"Results_G_accuracy_At_1001/G_accuracy_203.csv",8,"MegaLMM",8,203,0.127749498009257,0.0450809449760861,0.691282607405,0.0801105887207332,0.0369489786517233,0.889600038552123
"Results_G_accuracy_At_1001/G_accuracy_203.csv",9,"MTG2",16,203,0.102314967747377,0.0573434528568757,0.638549592884125,0.10543797620221,0.0525806544491282,0.828810640294975
"Results_G_accuracy_At_1001/G_accuracy_203.csv",10,"MCMCglmm",16,203,0.201212094199991,0.0428671244618805,0.726084939998405,0.0987007003652773,0.0428686463384843,0.891440623205059
"Results_G_accuracy_At_1001/G_accuracy_203.csv",11,"phenix",16,203,0.0859614664666734,0.0621501852191293,0.689034499820362,0.0770886716668361,0.0477994905490479,0.889621019895953
"Results_G_accuracy_At_1001/G_accuracy_203.csv",12,"MegaLMM",16,203,0.0992961071682104,0.0399281590524084,0.707592280682672,0.0729064477284352,0.0456915309655263,0.87782447824417
"Results_G_accuracy_At_1001/G_accuracy_203.csv",13,"MTG2",32,203,0.146941030386677,0.0600677579223752,0.498050779674612,0.201417758961975,0.0848883356480922,0.60779012556314
"Results_G_accuracy_At_1001/G_accuracy_203.csv",14,"MCMCglmm",32,203,0.257824948503366,0.0496703674794767,0.721983014016383,0.11133109793312,0.0443305410948384,0.902343706047046
"Results_G_accuracy_At_1001/G_accuracy_203.csv",15,"phenix",32,203,0.124413926851676,0.0679475592712817,0.727996397992058,0.0758276264995687,0.0476185522374038,0.878038764238585
"Results_G_accuracy_At_1001/G_accuracy_203.csv",16,"MegaLMM",32,203,0.0967994787814795,0.0479696553481932,0.728830922622431,0.0686762297822362,0.0457899162415355,0.893650329397322
"Results_G_accuracy_At_1001/G_accuracy_203.csv",17,"MTG2",64,203,0.168322217365042,0.0707479534667298,0.319587260796979,0.212893734620338,0.085232643151462,0.406604337694366
"Results_G_accuracy_At_1001/G_accuracy_203.csv",18,"MCMCglmm",64,203,0.311589154181304,0.0496697425261965,0.748407120035438,0.155671793930401,0.0409270509987101,0.902470546932899
