"wavelength","date","G_cor_low","G_cor_high","G_cor_mean","P_cor"
729,"10-Jan",-0.0693714844081299,0.0729821371739867,0.00874119069131487,0.0221099484194603
736,"10-Jan",-0.0510443015773221,0.085504988829774,0.0162455021528777,0.0151267651589304
744,"10-Jan",-0.0484178258758714,0.0831774404611916,0.0161520093773234,0.0102510907636085
751,"10-Jan",-0.0499777028457532,0.0803296300985744,0.0153869428236611,0.00533152881863477
759,"10-Jan",-0.0457234450131113,0.0822049367254625,0.0155961352325147,0.00258755250192364
766,"10-Jan",-0.0411441711335567,0.0835103393625387,0.0212141250764178,0.0052005179423708
773,"10-Jan",-0.0453922724926628,0.0835463399082834,0.0149879020548939,0.000907656607844495
781,"10-Jan",-0.0470912359675592,0.0779773049940243,0.0143687459675547,-0.00220563244866059
788,"10-Jan",-0.0488921443641804,0.0773750841720138,0.0146951000682298,-0.00146995420319499
795,"10-Jan",-0.0526337716123049,0.0759348085276177,0.0112547710952449,-0.000627273294441122
803,"10-Jan",-0.0512133258789504,0.0747178235861835,0.0109249221962273,-0.00442061699833505
810,"10-Jan",-0.055299719319024,0.070556746168701,0.00845223290113031,-0.00360489004400351
818,"10-Jan",-0.0536063720599099,0.0708453610457915,0.0101536016478855,-0.00674336214395513
825,"10-Jan",-0.0558847323351859,0.0694397945492934,0.00777198868079237,-0.00828367074748764
832,"10-Jan",-0.0551747203390436,0.0720636654283,0.00522060516866736,-0.00884977171002674
840,"10-Jan",-0.0568668227925107,0.0703521205394169,0.00565265344261746,-0.00858591619906074
847,"10-Jan",-0.0556000130295845,0.0719848015371726,0.00342249775977856,-0.00853970176493736
398,"19-Jan",-0.117636026787889,0.0812118679533187,-0.0116915385819466,0.035681042462273
405,"19-Jan",-0.0958546488230225,0.0807019303666147,-0.00242925302276576,0.0721080833456071
412,"19-Jan",0.00182242489875897,0.191568104008196,0.0968008758153336,0.0783306644753084
420,"19-Jan",0.00354303227251821,0.185750416406575,0.095335390758759,0.0410408754287665
427,"19-Jan",0.0228948025327096,0.205713071208788,0.117816470076058,0.0724550117829962
434,"19-Jan",-0.00407250086432284,0.179409784883727,0.0864143311927368,0.0618406713605632
442,"19-Jan",-0.0263823507695575,0.131028016466929,0.0571769502257946,0.0117378261398788
449,"19-Jan",-0.0162074757338997,0.134548800419415,0.0587459705344993,-0.00355399600918086
457,"19-Jan",-0.0231378028993414,0.131002468991813,0.0585036264006502,0.00658055252978817
464,"19-Jan",-0.0243942398243359,0.130499015472039,0.0612358056801192,-0.00117136562397783
471,"19-Jan",-0.0184874107488872,0.13431977947011,0.0605875286856851,0.0107161240319653
479,"19-Jan",-0.0270416434007525,0.117914529021569,0.0479460450795411,0.00659482338706155
486,"19-Jan",-0.0439605591229872,0.101443580947732,0.0361683506256094,-0.0136968877366646
493,"19-Jan",-0.0314731674241263,0.116675915614252,0.0476766722355582,0.00776249565676591
501,"19-Jan",-0.0225387650390502,0.120535532594715,0.0472322972362305,-0.00144129836688061
508,"19-Jan",-0.0307507643024312,0.110832606409718,0.0392700923135568,-0.00683809655028802
515,"19-Jan",-0.0450708464492647,0.0905887638724169,0.0264881339995116,-0.00834515614539585
523,"19-Jan",-0.0570633965460623,0.0812068701055062,0.0173221961758744,-0.0213720874836088
530,"19-Jan",-0.0650725370751815,0.0752742439250188,0.00694034791529217,-0.031261113983891
538,"19-Jan",-0.0519857757408155,0.0867309133608177,0.0115203557078087,-0.0310978613357748
545,"19-Jan",-0.0649318764441811,0.0750084821037636,0.00874309187541972,-0.0356689986594152
552,"19-Jan",-0.066787483328627,0.0734571504446982,0.00404049456709251,-0.0396302854182367
